replicate_id,motion_seed,fault_seed,scenario_id,method,requests,accepted,true_accepts,false_accepts,true_rejects,false_rejects,enclosures_tested,containment_failures
3,11593834175221393723,867441438151760017,1,0,100,95,95,0,0,5,0,0
3,11593834175221393723,867441438151760017,1,1,100,0,0,0,0,100,0,0
3,11593834175221393723,867441438151760017,1,2,100,0,0,0,0,100,0,0
4,3347813090986583384,17332793437873053014,1,0,100,95,95,0,0,5,0,0
4,3347813090986583384,17332793437873053014,1,1,100,0,0,0,0,100,0,0
4,3347813090986583384,17332793437873053014,1,2,100,0,0,0,0,100,0,0
5,16534674281161132573,17661648527353408383,1,0,100,95,95,0,0,5,0,0
5,16534674281161132573,17661648527353408383,1,1,100,0,0,0,0,100,0,0
5,16534674281161132573,17661648527353408383,1,2,100,0,0,0,0,100,0,0
6,1869434951182979682,10359168999293541956,1,0,100,95,95,0,0,5,0,0
6,1869434951182979682,10359168999293541956,1,1,100,0,0,0,0,100,0,0
6,1869434951182979682,10359168999293541956,1,2,100,0,0,0,0,100,0,0
7,15165218386447993671,10364719744945967341,1,0,100,95,95,0,0,5,0,0
7,15165218386447993671,10364719744945967341,1,1,100,0,0,0,0,100,0,0
7,15165218386447993671,10364719744945967341,1,2,100,0,0,0,0,100,0,0
8,925738743642114676,11582940307859275714,1,0,100,95,95,0,0,5,0,0
8,925738743642114676,11582940307859275714,1,1,100,0,0,0,0,100,0,0
8,925738743642114676,11582940307859275714,1,2,100,0,0,0,0,100,0,0
9,18424644545096847385,10414415730162610203,1,0,100,95,95,0,0,5,0,0
9,18424644545096847385,10414415730162610203,1,1,100,0,0,0,0,100,0,0
9,18424644545096847385,10414415730162610203,1,2,100,0,0,0,0,100,0,0
10,1197137687119922334,14577080387270652240,1,0,100,95,95,0,0,5,0,0
10,1197137687119922334,14577080387270652240,1,1,100,0,0,0,0,100,0,0
10,1197137687119922334,14577080387270652240,1,2,100,0,0,0,0,100,0,0
11,12889497012818321507,4074840226313587305,1,0,100,95,95,0,0,5,0,0
11,12889497012818321507,4074840226313587305,1,1,100,0,0,0,0,100,0,0
11,12889497012818321507,4074840226313587305,1,2,100,0,0,0,0,100,0,0
12,564723016766813184,956938347743952014,1,0,100,95,95,0,0,5,0,0
12,564723016766813184,956938347743952014,1,1,100,0,0,0,0,100,0,0
12,564723016766813184,956938347743952014,1,2,100,0,0,0,0,100,0,0
13,1139813661928537189,12124526821070456791,1,0,100,95,95,0,0,5,0,0
13,1139813661928537189,12124526821070456791,1,1,100,0,0,0,0,100,0,0
13,1139813661928537189,12124526821070456791,1,2,100,0,0,0,0,100,0,0
14,11109762063541617482,4610696681758490364,1,0,100,95,95,0,0,5,0,0
14,11109762063541617482,4610696681758490364,1,1,100,0,0,0,0,100,0,0
14,11109762063541617482,4610696681758490364,1,2,100,0,0,0,0,100,0,0
15,13619859224420957711,185800553033113349,1,0,100,95,95,0,0,5,0,0
15,13619859224420957711,185800553033113349,1,1,100,0,0,0,0,100,0,0
15,13619859224420957711,185800553033113349,1,2,100,0,0,0,0,100,0,0
16,17159192876407639708,3207284767862889530,1,0,100,95,95,0,0,5,0,0
16,17159192876407639708,3207284767862889530,1,1,100,0,0,0,0,100,0,0
16,17159192876407639708,3207284767862889530,1,2,100,0,0,0,0,100,0,0
17,16123066810707161761,2813214117119339571,1,0,100,95,95,0,0,5,0,0
17,16123066810707161761,2813214117119339571,1,1,100,0,0,0,0,100,0,0
17,16123066810707161761,2813214117119339571,1,2,100,0,0,0,0,100,0,0
18,17255731612241714630,16460606872400159752,1,0,100,95,95,0,0,5,0,0
18,17255731612241714630,16460606872400159752,1,1,100,0,0,0,0,100,0,0
18,17255731612241714630,16460606872400159752,1,2,100,0,0,0,0,100,0,0
19,13883523294833848875,13523873101278981057,1,0,100,95,95,0,0,5,0,0
19,13883523294833848875,13523873101278981057,1,1,100,0,0,0,0,100,0,0
19,13883523294833848875,13523873101278981057,1,2,100,0,0,0,0,100,0,0
20,5193794695500498632,4342795501937704966,1,0,100,95,95,0,0,5,0,0
20,5193794695500498632,4342795501937704966,1,1,100,0,0,0,0,100,0,0
20,5193794695500498632,4342795501937704966,1,2,100,0,0,0,0,100,0,0
21,12200570134785767245,16478088091915755631,1,0,100,95,95,0,0,5,0,0
21,12200570134785767245,16478088091915755631,1,1,100,0,0,0,0,100,0,0
21,12200570134785767245,16478088091915755631,1,2,100,0,0,0,0,100,0,0
22,6639034778626213330,15182719528102588084,1,0,100,95,95,0,0,5,0,0
22,6639034778626213330,15182719528102588084,1,1,100,0,0,0,0,100,0,0
22,6639034778626213330,15182719528102588084,1,2,100,0,0,0,0,100,0,0
23,5188156410933320695,1210408319261583965,1,0,100,95,95,0,0,5,0,0
23,5188156410933320695,1210408319261583965,1,1,100,0,0,0,0,100,0,0
23,5188156410933320695,1210408319261583965,1,2,100,0,0,0,0,100,0,0
